art, 2025-01-12 15:16:22.057579, 1, 0
art, 2025-01-12 15:16:22.057579, 1, 0
ble, 2025-01-12 16:11:57.569690, 0, 1
ble, 2025-01-12 16:11:57.569690, 0, 1
ble, 2025-01-12 16:11:57.569690, 1, 1
ble, 2025-01-12 16:11:57.569690, 2, 1
ble, 2025-01-12 16:11:57.569690, 2, 1
ble, 2025-01-12 16:11:57.569690, 3, 1
ble, 2025-01-12 16:11:57.569690, 4, 1
ble, 2025-01-12 16:11:57.569690, 5, 1
ble, 2025-01-12 16:11:57.569690, 5, 2
ble, 2025-01-12 16:11:57.569690, 5, 2
ble, 2025-01-12 16:11:57.569690, 5, 3
ble, 2025-01-12 16:11:57.569690, 5, 3
ble, 2025-01-12 16:11:57.569690, 6, 3
ble, 2025-01-12 16:11:57.569690, 6, 4
ble, 2025-01-12 16:11:57.569690, 6, 5
ble, 2025-01-12 16:11:57.569690, 6, 5
ble, 2025-01-12 16:11:57.569690, 6, 5
ble, 2025-01-12 16:11:57.569690, 7, 5
ble, 2025-01-12 16:11:57.569690, 8, 5
ble, 2025-01-12 16:11:57.569690, 8, 5
ble, 2025-01-12 16:11:57.569690, 9, 5
ble, 2025-01-12 16:11:57.569690, 9, 6
ble, 2025-01-12 16:11:57.569690, 10, 6
art, 2025-01-12 16:11:57.569690, 10, 7
blim, 2025-01-12 16:11:57.569690, 11, 8
re, 2025-01-12 16:11:57.569690, 12, 6
oxi, 2025-01-12 16:11:57.569690, 10, 5
nai, 2025-01-12 16:11:57.569690, 10, 7 
test, 2025-01-22 00:44:10.969992, 0, 1
test, 2025-01-22 00:44:10.969992, 1, 1
